site_id,cci_lake_id,lake_name,country,lat,lon,which_surface,start_date,end_date,site_years,forcing_source,portal_job_id,status,notes
Ld-001,000000016,Lake Ladoga,Russia,60.765,31.648,lake,2017-01-01,2023-01-01,2017-2022,oper,20260904T120600_Ld-001,run_complete_spunup,"Benchmark period is 2017-2022 (6 full calendar years); forcing runs through 2023-01-01 00:00 as the boundary instant ecLand needs to drive the last timestep. Physiography/init (surfclim/surfinit, which do not depend on end_date) staged from portal job 20260904T120600_Ld-001 -- a physiography-only rerun -- relabelled from its 2017-2026 placeholder via 'stage_portal_job.sh --years 2017-2022'. Forcing is sourced as daily 'oper' GRIB tarballs from ECFS via scripts/get_forcing_ecfs.sh -- full 2017-2022 raw GRIB (2192 days, 4.2 TB) downloaded 2026-09-04/05. Point-extracted per year (2017-2022, 5 jobs in parallel for 2018-2022) then joined into one file with scripts/merge_yearly_forcing.py (52585 hourly steps, no gaps/NaNs). Validated: 10-day smoke test; a full-year (2017) spin-up check with NLOOP=8 (end-of-year FLake state converges within 2-3 loops, loop7->8 delta <0.0006 K); a full 2017-2022 cold-start single-pass run (kept at output/Ld-001_2017-2022/ for comparison -- AvgSurfT differs from the spun-up run by 0.033K at end of 2017, 0.003K at end of 2018, identical from 2019 on); AND the SCORED run at output_spunup/Ld-001_2017-2022/, seeded from the spin-up's loop-8 restartout.nc (via clim/CCI_LAKES_spunup/) instead of ecland-portal's cold-start surfinit/surfclim -- ~2 min wall clock, ecland-master-dp, AvgSurfT in [253,295]K throughout, ~23% of hours under ice, stable year-to-year variability, no drift, no residual cold-start transient. MUST use /perm/pad/ecland/build/bin/ecland-master-dp, not /perm/pad/ecland-build/bin/ecland-master -- see README Known issues, the latter silently freezes lake state to a constant default with no error. Next: postproc_lake.py + benchmark_lake.py once ESA-CCI-Lakes obs are sourced."
Br-001,000001248,Lake Baringo,Kenya,0.6334,36.0750,lake,2017-01-01,2023-01-01,2017-2022,oper,20260905T101244_Br-001,run_complete_spunup,"Full pipeline (physiography -> per-year forcing -> merge -> namelist -> spin-up -> scored run) run via scripts/run_lake_pipeline.sh Br-001 0.6334 36.0750, NLOOP=8 default. Spin-up CONVERGED INSTANTLY (loop1->2 delta=0.00000 across all FLake variables) -- shallow (LDEPTH=3.0m), near-equatorial (0.63N), effectively no seasonal cycle to spin up from. Scored run: AvgSurfT 298.9-304.7K (25.8-31.6C), no ice, HLML 0.7-3.0m -- physically correct for an equatorial rift-valley lake."
Ch-001,000000256,Lake Chilwa,Malawi;Mozambique,-15.2834,35.7000,lake,2017-01-01,2023-01-01,2017-2022,oper,20260905T101245_Ch-001,run_complete_spunup,"Same pipeline as Br-001. Spin-up converged instantly (loop1->2 delta=0.00000) -- shallow (LDEPTH=1.0m). Scored run: AvgSurfT 290.2-306.5K (17.0-33.4C, widest range of the six candidates -- endorheic shallow lake with large seasonal swing), no ice."
Ky-001,100000013,Lake Kyoga,Uganda,1.5833,32.8792,lake,2017-01-01,2023-01-01,2017-2022,oper,20260905T101245_Ky-001,run_complete_spunup,"Same pipeline. Spin-up converged within 2 loops (loop1->2 delta=1.147K, loop2->3 delta=0.00000 -- one correction then locked). Scored run: AvgSurfT 297.9-305.0K (24.7-31.9C), no ice."
Mw-001,000000119,Lake Mweru Wantipa,Zambia,-8.7250,29.7209,lake,2017-01-01,2023-01-01,2017-2022,oper,20260905T101245_Mw-001,run_complete_spunup,"Same pipeline. Spin-up converged instantly (loop1->2 delta=0.00000) -- shallow (LDEPTH=1.0m). Scored run: AvgSurfT 293.2-305.7K (20.1-32.6C), no ice."
Ta-001,000000055,Lake Tana,Ethiopia,11.9542,37.3084,lake,2017-01-01,2023-01-01,2017-2022,oper,20260905T101245_Ta-001,run_complete_spunup,"IMPORTANT: default NLOOP=8 was NOT enough here -- TLBOT kept drifting colder with a GROWING per-loop delta (0.51K at loop2 up to 0.87K at loop8, i.e. still accelerating, not decaying). Re-ran spin-up with NLOOP=40: TLBOT decays smoothly through loop 15, then LOCKS to an exact fixed point from loop 16 onward (delta=0.00000, loops 16-40 identical to 5 decimal places) -- a genuine, if unusually shaped, convergence, not a runaway. Scored run re-seeded from the loop-40 (fully converged) restart, not the original loop-8 attempt. Result: AvgSurfT 289.1-301.8K (16.0-28.6C) with real seasonal range (highland Ethiopia, 1783m), TLBOT rock-stable at 277.13-277.23K, no ice. LESSON: always check scripts/check_spinup_convergence.py's actual trend before accepting NLOOP=8 -- a lake deep enough to stratify (here LDEPTH=10m) can need far more loops, and the failure mode (still-growing delta) looks nothing like Ladoga's smoothly-decaying one, so eyeball the numbers, don't just check whether delta is small at the last loop shown."
Vi-001,000000003,Lake Victoria,Tanzania;Uganda;Kenya,-1.2625,33.2334,lake,2017-01-01,2023-01-01,2017-2022,oper,20260905T101245_Vi-001,run_complete_spunup_not_fully_converged,"IMPORTANT, UNRESOLVED: at LDEPTH=70m (by far the deepest candidate), spin-up does NOT converge within any loop count tried. Checked out to 65 loops (see repo_scaffold memory for the full per-loop trace): TLBOT increases by a near-CONSTANT ~0.065-0.066 K every single loop from loop 2 through loop 65, with NO decay -- a sustained linear drift, not an exponential approach to equilibrium (contrast Tana's clearly-decaying-then-locking pattern). Plausibly reflects real, very-long deep-water equilibration timescales for a lake this large/deep, poorly suited to a 'repeat one identical year' spin-up technique. HOWEVER: the near-surface state that matters for LSWT benchmarking (AvgSurfT, TLWML) drifts ~17x slower than TLBOT (~0.004-0.005 K/loop, also not fully decaying but far smaller in absolute terms) -- so this mostly affects the deep bottom-water diagnostic, not the satellite-comparable surface temperature. Scored run seeded from a 40-loop state as a pragmatic, DOCUMENTED-CAVEAT choice, not a fully-converged one. Result (still physically sane): AvgSurfT 295.9-302.3K (22.7-29.2C), no ice, HLML 0.8-11.4m. Revisit if TLBOT/deep-water fidelity turns out to matter for this lake's specific benchmarking use case -- e.g. by using a real multi-year forcing sequence to spin up instead of one repeated year, rather than more loops of the same year."
Ra-001,000000173,Razazza Lake,Iraq,32.8084,43.6392,lake,2017-01-01,2023-01-01,2017-2022,oper,20260914T215719_Ra-001,run_complete_spunup,"From Margarita Choulga's ESA CCI Lakes list (2026-09-14), CCI id 000000173, analysis hour 06. lat/lon is the bounding-box centroid (N 33.1375, S 32.4792, W 43.3708, E 43.9076) -- not a validated single point; elevation/area/depth not supplied by this source, confirm against ecland-portal's own physiography once staged. | Campaign: LDEPTH=18.00m, NLOOP=40, final max_delta=0.0."
Ar-001,000000004,Aral Sea,Uzbekistan;Kazakhstan,45.3822,59.8631,lake,2017-01-01,2023-01-01,2017-2022,oper,20260914T215726_Ar-001,run_complete_spunup_not_fully_converged,"From Margarita Choulga's ESA CCI Lakes list (2026-09-14), CCI id 000000004, analysis hour 06. lat/lon is the bounding-box centroid (N 46.8208, S 43.9437, W 58.1708, E 61.5553) -- not a validated single point; elevation/area/depth not supplied by this source, confirm against ecland-portal's own physiography once staged. | Campaign: LDEPTH=1.00m, NLOOP=8, final max_delta=2430.0."
Ur-001,000000034,Urmia Lake,IslamicRepublicOfIran,37.644,45.4834,lake,2017-01-01,2023-01-01,2017-2022,oper,20260914T215726_Ur-001,run_complete_spunup,"From Margarita Choulga's ESA CCI Lakes list (2026-09-14), CCI id 000000034, analysis hour 06. lat/lon is the bounding-box centroid (N 38.3125, S 36.9754, W 44.9542, E 46.0125) -- not a validated single point; elevation/area/depth not supplied by this source, confirm against ecland-portal's own physiography once staged. | Campaign: LDEPTH=5.36m, NLOOP=40, final max_delta=0.0."
